day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
5,2014,04,04,2014-04-04,39.4,29.9,9999.9,10.0,5.6,14.0,19.0,50.0,32.0,0.0,999.9,0,622
5,2014,04,04,2014-04-04,40.0,30.2,1019.1,10.0,7.7,15.0,20.0,48.0,33.1,0.0,999.9,0,622
6,2014,04,05,2014-04-05,45.0,39.9,9999.9,7.1,9.2,15.9,26.0,53.6,39.2,99.99,999.9,0,580
6,2014,04,05,2014-04-05,44.8,39.6,1008.7,7.7,13.8,19.0,25.1,50.0,41.0,0.03,999.9,1,580
7,2014,04,06,2014-04-06,41.2,24.6,9999.9,10.0,9.6,17.1,21.0,48.2,33.8,0.0,999.9,0,484
7,2014,04,06,2014-04-06,41.1,25.3,1017.6,10.0,12.5,17.1,22.9,46.9,35.1,0.0,999.9,0,484
1,2014,04,07,2014-04-07,43.4,30.0,9999.9,10.0,5.4,12.0,18.1,55.4,32.0,0.0,999.9,0,533
1,2014,04,07,2014-04-07,42.0,33.9,1022.6,10.0,7.4,15.0,22.0,48.9,35.1,0.0,999.9,0,533
2,2014,04,08,2014-04-08,49.4,48.4,9999.9,3.1,15.1,22.9,33.0,59.0,46.4,99.99,999.9,1,606
2,2014,04,08,2014-04-08,47.7,45.8,1003.5,1.9,14.7,22.9,29.9,52.0,44.1,0.7,999.9,1,606
5,2014,04,25,2014-04-25,49.4,27.5,9999.9,10.0,8.8,11.1,20.0,51.8,46.4,0.0,999.9,0,617
5,2014,04,25,2014-04-25,49.0,32.3,1013.4,10.0,10.5,15.9,22.9,57.0,43.0,0.0,999.9,0,617
6,2014,04,26,2014-04-26,45.1,39.2,9999.9,8.3,8.7,11.1,17.1,46.4,44.6,0.0,999.9,0,548
6,2014,04,26,2014-04-26,44.9,36.6,1009.1,9.4,12.2,18.1,26.0,55.0,42.1,0.0,999.9,0,548
1,2014,04,28,2014-04-28,44.9,36.7,9999.9,10.0,9.3,15.9,27.0,53.6,37.4,0.0,999.9,0,597
1,2014,04,28,2014-04-28,46.5,37.2,1016.1,10.0,13.7,20.0,24.1,52.0,41.0,0.01,999.9,0,597
